45 79277 85009 90796 96636 102523 108446 114410 120399 126414 132452 138502 144571 150647 156729 162815 168898 174985 181062 187132 193193 199236 205272 211286 217281 223257 229202 235119 241002 246877 252742 258567 264354 270097 275824 281533 287184 292785 298324 303804 309221 314562 319845 325043 330170 335219 340164 344989 349690 354254 358665 362918 366824 370505 373838 376592 379172 381302 383229 384915 386336 387660 388871 389992 391037 392007 392900 393718 394465 395145 395762 396319 396820 397269 397669 398023 398335 398609 398847 399053 399229 399379
50 66460 71698 77022 82429 87911 93460 99076 104748 110474 116250 122066 127928 133823 139751 145709 151689 157697 163720 169761 175815 181877 187952 194028 200108 206189 212262 218313 224353 230402 236457 242494 248500 254486 260475 266466 272417 278339 284220 290060 295854 301594 307286 312913 318479 323981 329399 334708 339913 345001 349957 354771 359254 363519 367431 370741 373858 376484 378876 380990 382797 384479 386018 387444 388769 389997 391126 392159 393102 393959 394735 395435 396063 396625 397125 397566 397955 398295 398590 398845 399062 399247
55 53506 58125 62856 67694 72633 77666 82791 87999 93287 98652 104086 109590 115155 120781 126462 132195 137978 143807 149678 155589 161536 167518 173530 179571 185638 191726 197805 203902 210024 216168 222322 228457 234600 240772 246972 253158 259344 265520 271680 277823 283942 290031 296087 302102 308072 313993 319833 325602 331291 336887 342372 347583 352602 357293 361401 365297 368677 371787 374575 377004 379267 381342 383263 385045 386695 388210 389596 390859 392006 393044 393978 394816 395564 396228 396814 397329 397778 398167 398501 398787 399029
60 40928 44811 48822 52955 57207 61573 66049 70630 75312 80092 84967 89930 94982 100117 105332 110626 115992 121431 126939 132512 138151 143847 149604 155416 161280 167198 173124 179101 185120 191179 197283 203379 209518 215716 221973 228253 234565 240908 247271 253651 260050 266446 272854 279254 285642 292030 298391 304734 311053 317340 323572 329643 335580 341268 346476 351467 355965 360161 363997 367428 370628 373579 376313 378848 381193 383346 385316 387111 388741 390214 391540 392727 393786 394725 395553 396278 396910 397457 397926 398326 398663
65 28346 31357 34501 37775 41175 44701 48344 52109 55988 59979 64084 68292 72610 77030 81550 86174 90888 95701 100606 105600 110689 115857 121116 126456 131876 137384 142918 148537 154219 159962 165787 171619 177534 183541 189641 195806 202045 208363 214746 221192 227712 234266 240892 247554 254254 261022 267838 274711 281643 288630 295649 302696 309716 316642 323322 329803 335900 341680 347084 352053 356705 361028 365046 368775 372227 375402 378311 380966 383378 385559 387524 389283 390852 392242 393468 394541 395475 396281 396973 397561 398057
70 17317 19401 21607 23933 26376 28940 31616 34413 37324 40348 43491 46738 50103 53578 57161 60860 64657 68570 72587 76708 80945 85272 89713 94255 98898 103655 108454 113368 118363 123437 128628 133835 139161 144610 150185 155868 161666 167591 173629 179779 186063 192424 198924 205516 212207 219045 226026 233156 240451 247915 255528 263429 271465 279655 287998 296227 304321 312151 319662 326779 333507 339838 345772 351320 356490 361280 365700 369760 373473 376852 379913 382671 385142 387345 389298 391016 392519 393825 394950 395911 396726
75 8656 9860 11160 12551 14034 15618 17289 19063 20933 22901 24973 27136 29406 31776 34246 36827 39498 42282 45168 48157 51263 54459 57775 61195 64722 68375 72076 75905 79825 83835 87980 92149 96457 100904 105495 110224 115096 120131 125315 130652 136169 141808 147641 153623 159763 166125 172723 179565 186678 194080 201762 210027 218634 227720 237513 247373 257533 267609 277560 287298 296653 305613 314138 322215 329837 336994 343683 349904 355661 360963 365820 370245 374256 377869 381106 383986 386533 388769 390717 392401 393845
80 3263 3796 4385 5029 5730 6494 7314 8201 9152 10169 11260 12413 13644 14947 16323 17785 19312 20929 22625 24403 26277 28222 30267 32401 34625 36959 39338 41830 44406 47065 49847 52659 55601 58669 61870 65210 68690 72336 76137 80100 84257 88555 93067 97758 102640 107779 113204 118927 124987 131416 138221 145827 153960 162880 173081 183627 195047 206736 218681 230810 242747 254457 265851 276872 287480 297643 307327 316504 325153 333259 340814 347813 354261 360165 365538 370396 374758 378650 382094 385120 387756
85 917 1086 1278 1492 1731 1998 2289 2612 2965 3350 3771 4223 4716 5245 5814 6429 7080 7780 8526 9318 10167 11057 12008 13013 14072 15201 16359 17590 18876 20218 21642 23089 24624 26242 27949 29753 31659 33683 35822 38085 40494 43019 45712 48554 51559 54776 58236 61954 65970 70320 75021 80514 86563 93506 102018 111128 121613 132815 144809 157610 170681 183977 197362 210729 223993 237091 249942 262467 274596 286266 297420 308012 318005 327370 336086 344144 351540 358280 364376 369846 374714
90 185 221 263 310 364 425 494 571 658 754 861 979 1109 1252 1408 1580 1765 1967 2187 2423 2681 2954 3252 3570 3911 4279 4661 5073 5509 5970 6467 6976 7523 8107 8730 9399 10114 10886 11715 12605 13568 14593 15706 16902 18189 19592 21131 22817 24677 26737 29012 31794 34954 38762 43782 49391 56317 64137 73037 83181 94104 105823 118223 131204 144681 158592 172837 187304 201882 216454 230906 245126 259009 272457 285381 297705 309363 320302 330483 339877 348472
95 27 32 38 45 53 62 73 85 98 114 131 150 172 196 222 252 285 321 361 405 453 505 562 625 692 766 844 929 1021 1119 1226 1337 1458 1588 1729 1883 2050 2232 2431 2649 2888 3147 3434 3747 4092 4475 4903 5382 5922 6534 7226 8109 9143 10452 12299 14465 17348 20822 25080 30345 36429 43449 51399 60285 70113 80903 92633 105257 118710 132906 147742 163096 178834 194811 210878 226883 242674 258108 273049 287372 300969
100 3 3 4 4 5 6 7 8 10 11 13 15 17 20 22 25 29 33 37 42 47 53 59 66 74 83 92 102 113 125 138 152 167 184 202 222 244 268 295 325 359 396 437 483 535 594 660 737 824 926 1044 1200 1389 1639 2014 2476 3138 3994 5132 6675 8617 11073 14105 17792 22225 27504 33719 40952 49270 58724 69345 81135 94070 108098 123134 139064 155747 173019 190694 208573 226450
